Country Name,Country Code,Series Name,Series Code,1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
Maldives,MDV,"Natural capital, agricultural land: pastureland (constant 2018 US$)",NW.NCA.PASL.TO,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
Maldives,MDV,"Natural capital, fisheries (constant 2018 US$)",NW.NCA.FISH.TO,1070000000.00000000,1100000000.00000000,1240000000.00000000,932000000.00000000,812000000.00000000,1130000000.00000000,1320000000.00000000,1500000000.00000000,1230000000.00000000,1180000000.00000000,829000000.00000000,361000000.00000000,2345730.00000000,0.00000000,0.00000000,122000000.00000000,0.00000000,0.00000000,214000000.00000000,0.00000000,41775235.00000000,45969465.00000000,50606897.00000000,53676125.00000000
Maldives,MDV,"Natural capital, forests: ecosystem services (constant 2018 US$)",NW.NCA.FECO.TO,972847.90000000,971246.70000000,967718.30000000,968075.00000000,960217.20000000,939444.30000000,945885.00000000,946467.10000000,890166.60000000,883380.30000000,878083.30000000,1055422.00000000,1057667.00000000,1040462.00000000,1069779.00000000,1080956.00000000,1082829.00000000,1083355.00000000,1097222.00000000,1090404.00000000,1090793.00000000,1097962.00000000,1098711.00000000,1186243.00000000
Maldives,MDV,"Natural capital, forests: timber (constant 2018 US$)",NW.NCA.FTIM.TO,740114.30000000,804145.50000000,821302.00000000,893333.20000000,961497.10000000,888657.90000000,798925.90000000,752535.50000000,716345.30000000,677398.20000000,621088.40000000,651779.80000000,761675.10000000,817898.50000000,855510.00000000,1043724.00000000,1209005.00000000,1237665.00000000,1233539.00000000,1261587.00000000,1197464.00000000,1162473.00000000,1131778.00000000,1051495.00000000
Maldives,MDV,"Natural capital, fossil fuels (constant 2018 US$)",NW.NCA.FOSL.TO,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
Maldives,MDV,"Natural capital, mangroves (constant 2018 US$)",NW.NCA.MANG.TO,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
Maldives,MDV,"Natural capital, nonrenewable assets (constant 2018 US$)",NW.NCA.SSOI.TO,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
Maldives,MDV,"Natural capital, nonrenewable assets: coal (constant 2018 US$)",NW.NCA.SACO.TO,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
Maldives,MDV,"Natural capital, nonrenewable assets: gas (constant 2018 US$)",NW.NCA.SAGA.TO,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,..
Maldives,MDV,"Natural capital, nonrenewable assets: minerals (constant 2018 US$)",NW.NCA.MINR.TO,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
Maldives,MDV,"Natural capital, nonrenewable assets: oil (constant 2018 US$)",NW.NCA.SAOI.TO,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
Maldives,MDV,"Natural capital, protected areas (constant 2018 US$)",NW.NCA.PRAR.TO,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
Maldives,MDV,"Natural capital, renewable (constant 2018 US$)",NW.NCA.RNEW.TO,1130000000.00000000,1160000000.00000000,1310000000.00000000,1010000000.00000000,894000000.00000000,1190000000.00000000,1370000000.00000000,1550000000.00000000,1260000000.00000000,1210000000.00000000,861000000.00000000,399000000.00000000,45159419.00000000,38429926.00000000,34243914.00000000,157000000.00000000,41062432.00000000,57610944.00000000,301000000.00000000,81052447.00000000,92401506.00000000,92224280.00000000,80678361.00000000,119000000.00000000
Maldives,MDV,Net foreign assets (constant 2018 US$),NW.NFA.TO,-590000000.00000000,-490000000.00000000,-480000000.00000000,-500000000.00000000,-540000000.00000000,-580000000.00000000,-470000000.00000000,-530000000.00000000,-530000000.00000000,-460000000.00000000,-750000000.00000000,-970000000.00000000,-1400000000.00000000,-1900000000.00000000,-1900000000.00000000,-2100000000.00000000,-2500000000.00000000,-2600000000.00000000,-2500000000.00000000,-2800000000.00000000,-3000000000.00000000,-3800000000.00000000,-4500000000.00000000,-5800000000.00000000
Maldives,MDV,Net foreign assets per capita (constant 2018 US$),NW.NFA.PC,-2312.69000000,-1872.33000000,-1819.91000000,-1870.33000000,-1979.25000000,-2069.23000000,-1642.66000000,-1813.50000000,-1743.52000000,-1476.93000000,-2346.34000000,-2966.33000000,-4291.82000000,-5401.87000000,-5467.64000000,-5703.03000000,-6700.17000000,-6450.10000000,-6039.30000000,-6359.45000000,-6539.80000000,-7950.44000000,-9141.64000000,-11328.10000000
Maldives,MDV,Produced capital (constant 2018 US$),NW.PCA.TO,1220000000.00000000,1330000000.00000000,1480000000.00000000,1630000000.00000000,1810000000.00000000,1940000000.00000000,2080000000.00000000,2220000000.00000000,2450000000.00000000,2800000000.00000000,3260000000.00000000,3780000000.00000000,4440000000.00000000,5230000000.00000000,5580000000.00000000,5980000000.00000000,6600000000.00000000,7170000000.00000000,7820000000.00000000,8690000000.00000000,9550000000.00000000,10400000000.00000000,11400000000.00000000,12400000000.00000000
Maldives,MDV,Produced capital per capita (constant 2018 US$),NW.PCA.PC,4792.08600000,5125.25600000,5614.04700000,6078.27900000,6622.53200000,6939.84700000,7273.34100000,7534.82500000,8085.60400000,8982.20100000,10206.94000000,11536.70000000,13240.95000000,15220.77000000,15781.32000000,16357.16000000,17335.16000000,18040.75000000,18825.76000000,19983.89000000,20991.49000000,21944.14000000,22888.37000000,24074.24000000
